대분류,카테고리,서브카테고리,툴 이름,킬러 기능,특징,비용,가입 방식,무료 한도,한국어 지원,출처
비주얼 & 멀티미디어,디자인 및 UI/UX,지능형 웹 & 앱 빌더,10Web AI,WordPress 자동화,기존 사이트 URL만 넣으면 워드프레스용으로 구조와 디자인 복제. 구글 클라우드 호스팅 포함. SEO/성능 자동 최적화.,,구글/이메일,무료 체험,기본 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,지능형 웹 & 앱 빌더,Banani,초고속 컨셉 구현,아이디어를 시각적 화면으로 전환하는 속도가 가장 빠름. 2026년 신흥 강자.,,이메일 / Google,무료 티어 제공,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,지능형 웹 & 앱 빌더,Bolt.new,브라우저 기반 Full-Stack 개발,코딩 친화적 워크플로우. 프롬프트만으로 대시보드 및 복잡한 웹 앱 빌드 가능.,,StackBlitz 계정,무료 티어 제공,한국어 프롬프트 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,하이엔드 UI/UX 설계 및 시스템,Creatie AI,팀 협업 특화,프로젝트 성격에 맞춰 수천 개의 빌트인 템플릿과 아이콘 라이브러리를 AI가 추천.,,이메일 / Google,무료 플랜 제공,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,인터랙티브 & 공간 경험,Dora AI,코딩 없이 3D 웹사이트 전체 레이아웃 빌딩,텍스트로 3D 오브젝트를 생성하고 배치하여 인터랙티브한 3D 경험 제공.,,이메일 가입,무료 플랜,한국어 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,하이엔드 UI/UX 설계 및 시스템,Figma AI (Figma Make),텍스트/이미지를 넣으면 레이어 이름까지 정리된 오토 레이아웃 프레임 생성,피그마 내부에서 직접 작동.,2026년 3월부터 AI 크레딧 정책 강화,구글/이메일,"월 1,000 operations",UI 영어,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,하이엔드 UI/UX 설계 및 시스템,Figr.design,디자인 시스템 자동화 특화,기존 컴포넌트를 AI가 학습하여 브랜드 가이드에 맞는 새 화면 무한 생성.,,이메일 / Google,무료 크레딧 제공,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,지능형 웹 & 앱 빌더,Framer AI,고급 애니메이션 생성,마우스 휠이나 클릭에 반응하는 정교한 인터랙션을 디자인 없이 생성. 프로 디자이너 선호. CMS 및 반응형 레이아웃 강점.,,구글/이메일,무료 플랜,한국어 프롬프트,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,하이엔드 UI/UX 설계 및 시스템,Google Stitch (Gemini 3 기반),자연어만으로 고퀄리티 UI 생성,구글 랩스의 최신 툴. 화면을 연결해 즉시 워킹 프로토타입 생성 및 Figma 내보내기 가능.,월 350회 무료,구글 계정 자동 연동,Gemini 2.5 Pro 하루 5회,완벽 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,특수 스캐닝 및 전환 유틸리티,Khroma,지능적 컬러 팔레트 제안,사용자의 취향을 학습한 AI가 브랜드에 맞는 컬러 팔레트 제안.,,이메일 (브라우저 저장),완전 무료,언어 무관 (색상 툴),CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,지능형 웹 & 앱 빌더,Lovable,Vibe Coding & 풀스택 앱,단순 웹사이트를 넘어 Supabase 등 백엔드 연동이 담긴 풀스택 앱 구축. 실제 서비스 운영 가능 수준의 코드 퀄리티.,,구글/이메일,무료 플랜,한국어 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,특수 스캐닝 및 전환 유틸리티,Lovart,PDF 브리프를 읽고 즉시 디자인 리소스로 변환,이미지 내 텍스트를 레이아웃 손상 없이 수정.,,이메일 / Google,무료 크레딧 제공,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,하이엔드 UI/UX 설계 및 시스템,Moonchild AI,시니어 프로덕트 디자이너 역할 수행,제품 기획서(PDF) 기반 와이어프레임 생성 및 Gold Dot 모드로 유리 질감(Glassmorphism) 등 극강의 비주얼 구현.,$10.20/월,이메일 / Google,무료 플랜 제공,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,특수 스캐닝 및 전환 유틸리티,Musho AI,피그마 플러그인,대화 몇 마디로 내 디자인 시스템을 활용해 웹 섹션이나 소셜 미디어 포스트 디자인 생성.,,이메일 / Google,무료 티어 제공,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,인터랙티브 & 공간 경험,Relume AI,웹사이트 뼈대(Sitemap)와 와이어프레임을 AI로 설계,Webflow로 바로 넘겨주는 구조적 설계의 최강자.,,이메일 / Google,무료 플랜 제공 (Forever Free),프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,인터랙티브 & 공간 경험,Spline AI,개별 3D 오브젝트와 정교한 마우스/터치 인터랙션 설계,3D 디자인계의 피그마. 자연어 명령으로 모델링 질감 조명 생성. 여러 명이 동시 접속해 3D 장면 수정 가능.,,구글/이메일,무료 플랜,영어 권장,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,인터랙티브 & 공간 경험,Tempo.new,UX 엔지니어를 위한 툴,디자인의 논리적 구조를 코드로 완벽하게 이식.,,이메일 / Google / GitHub,무료 티어 제공,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,인터랙티브 & 공간 경험,UX Pilot,예측 히트맵(Predictive Heatmap),디자인 시스템 업로드 시 AI가 사용자가 어디를 볼지 미리 시뮬레이션.,,이메일 / Google,90 크레딧 무료 제공,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,특수 스캐닝 및 전환 유틸리티,Uizard,손으로 그린 종이 스케치나 스크린샷을 편집 가능한 피그마 레이어 수준의 디자인으로 변환,,,구글/이메일,무료 플랜 (2 프로젝트),기본 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,지능형 웹 & 앱 빌더,Wegic,실시간 대화형 유지보수,채팅창에 이벤트 배너 추가해 줘라고 치면 실시간 배포 완료. 입문자 전용. SEO 및 비즈니스 툴 연동이 빠름.,,구글/이메일,무료 플랜,한국어 대화 지원,CSV
비주얼 & 멀티미디어,디자인 및 UI/UX,인터랙티브 & 공간 경험,v0 by Vercel,React Tailwind CSS shadcn UI 기반,실제 개발자가 쓰는 수준의 깨끗한 프론트엔드 코드를 즉시 생성 및 배포. 데이터 분석 대시보드 강력 추천.,,Vercel 계정,월 200 크레딧,한국어 프롬프트 가능,CSV
비주얼 & 멀티미디어,스토리보드 및 웹툰,웹툰 셀프 퍼블리싱,Anifusion,망가 & 셀프 퍼블리싱,웹툰 및 망가 셀프 퍼블리싱 특화. 장면 간 연결성 뛰어남. KDP(아마존 출판) 최적화 포맷 지원으로 글로벌 진출 용이. 다양한 멀티 플랫폼(Webtoon Tapas 등)에 맞는 해상도로 자동 변환.,,이메일 가입,크레딧 제공,한국어 지원,CSV
비주얼 & 멀티미디어,스토리보드 및 웹툰,웹툰 제작,Dashtoon,올인원 캐릭터 워크플로우,웹툰 작가를 위한 올인원 플랫폼. AI 캐릭터 에셋을 라이브러리화하여 여러 화에 걸쳐 일관된 작화 유지. 2026년 킬러 기능 Character Turbo와 Expression Editor(표정 편집기)로 캐릭터 고유 정체성 유지하며 눈썹 위치 입 모양 등 미세한 표정 변화를 슬라이더로 조절.,,이메일 / Google,무료 플랜 (100 이미지/일),한국어 포함 다국어 지원,CSV
비주얼 & 멀티미디어,스토리보드 및 웹툰,스토리보드,Drawstory,스크립트-투-보드,대본만 업로드하면 카메라 앵글 조명 구도를 고려한 전문 스토리보드와 프리비즈 영상까지 자동 생성. 프롬프트 없는 생성 지향. 시나리오 문맥을 이해하고 전문 영화 문법(Shot type)을 적용한 컷 생성.,,이메일 / Google,무료 티어 제공,한국어 포함 다국어 지원,CSV
비주얼 & 멀티미디어,스토리보드 및 웹툰,웹툰 및 애니메이션,Novel AI,Precise Reference 업데이트,웹툰 및 애니메이션 스타일 구현과 캐릭터 시트 생성. 2026년 2월 출시 Precise Reference 기능으로 캐릭터의 외형뿐만 아니라 화풍(Style)까지 완벽하게 고정. Strength와 Fidelity 슬라이더로 AI 개입 정도 미세 조정. 레퍼런스 인페인팅으로 특정 부분만 일관성 있게 수정.,,이메일 가입,무료 없음,한국어 프롬프트,CSV
비주얼 & 멀티미디어,스토리보드 및 웹툰,스토리보드,Story Tribe,비전공자 맞춤형,기획자나 마케팅 담당자가 빠르게 스토리보드 제작. 드래그 앤 드롭 방식과 스케치-투-이미지 기능. 2026년 버전은 협업 기능 강화로 팀원들이 실시간으로 컷별 피드백 가능.,,이메일 / Google,무료 플랜 제공,기본 지원,CSV
비주얼 & 멀티미디어,영상 생성,비즈니스 및 교육용 아바타,D-ID,인물 사진에 목소리를 입혀 움직이는 아바타로 변환,가성비 최고.,,구글/이메일,월 20 크레딧,한국어 음성 지원,CSV
비주얼 & 멀티미디어,영상 생성,스마트 편집 및 워크플로우 자동화,Descript,영상을 텍스트 문서처럼 편집,말실수(음 어)를 한 번에 지워주는 기능이 압권.,,구글/이메일,무료 플랜 제공,한국어 전사 지원,CSV
비주얼 & 멀티미디어,영상 생성,비즈니스 및 교육용 아바타,Elai.io,인물 사진에 목소리를 입혀 움직이는 아바타로 변환,가성비 최고.,,이메일 / Google,무료 플랜 제공,29개 언어 지원 (한국어 포함),CSV
비주얼 & 멀티미디어,영상 생성,하이엔드 시네마틱,Google Veo 3.1,일관성 있는 긴 호흡의 영상 생성에 최적화,구글의 최신 모델.,매월 무료 크레딧 제공 Pro 버전 $19.99/월,구글 계정,제한적 무료,한국어 프롬프트 지원,CSV
비주얼 & 멀티미디어,영상 생성,쇼츠 및 소셜 미디어 특화,Grok Imagine (X),6초 내외의 영상을 가장 빠르게 생성,X(구 트위터) 유료 사용자 전용. 공유 가능.,,X(트위터) 계정,X 플랫폼 무료 제공,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,영상 생성,비즈니스 및 교육용 아바타,HeyGen,Live Avatar: 내 사진 한 장으로 입 모양과 감정까지 복제,실시간 대화형 아바타 생성.,,이메일 가입,월 1분 크레딧,한국어 음성 지원,CSV
비주얼 & 멀티미디어,영상 생성,오픈소스 및 전문가용 툴,Hunyuan Video,130억 파라미터 모델,텐센트. 2K 고화질 영상을 오픈소스로 배포.,오픈소스,오픈소스 (가입 불필요),오픈소스 무료,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,영상 생성,스마트 편집 및 워크플로우 자동화,Invideo AI,유튜브 링크만 넣으면 하이라이트 추출,자막까지 달아주는 워크플로우 특화 툴.,,구글/이메일,주 10분 영상,한국어 지원,CSV
비주얼 & 멀티미디어,영상 생성,하이엔드 시네마틱,Kling 2.6 Pro,현존 최고 수준의 인물 묘사와 물리 엔진,10분 이상의 장편 생성 지원.,매일 무료 크레딧 지급 비용 효율이 매우 높음,이메일/구글 가입,매일 66 크레딧 (약 6개 영상),"영어 프롬프트 권장, 한국어 제한적",CSV
비주얼 & 멀티미디어,영상 생성,오픈소스 및 전문가용 툴,LTX Studio,스토리보드 단계부터 샷별로 세밀하게 AI 영상 연출,전문가용 툴.,,구글/이메일,"월 1,200 크레딧",한국어 가사 지원,CSV
비주얼 & 멀티미디어,영상 생성,오픈소스 및 전문가용 툴,LTX Video (LTX-2),4K 50fps 영상과 오디오를 동시에 생성,하이테크 오픈 모델.,오픈소스,오픈소스 (가입 불필요),오픈소스 무료,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,영상 생성,하이엔드 시네마틱,Luma Ray 3,Dream Machine의 진화형,아이디어를 즉시 시네마틱한 결과로 도출.,매일 무료 생성권 제공 Lite 플랜 $9.99/월,구글/이메일,월 30회 무료,한국어 프롬프트 지원,CSV
비주얼 & 멀티미디어,영상 생성,스마트 편집 및 워크플로우 자동화,Manus,기획부터 대본 작성 배포까지 전 과정 자동화,AI 에이전트.,,이메일 / Google,무료 티어 제공,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,영상 생성,오픈소스 및 전문가용 툴,Mochi 1,프롬프트 이해도와 자연스러운 움직임에 집중,시각적 퀄리티보다 움직임 중심.,오픈소스,오픈소스 (가입 불필요),오픈소스 무료,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,영상 생성,쇼츠 및 소셜 미디어 특화,OpusClip,바이럴 점수 기반 자동 편집,긴 영상을 분석해 바이럴 점수가 높은 쇼츠 구간만 알아서 잘라줌.,,구글/이메일,월 60분 무료,한국어 지원,CSV
비주얼 & 멀티미디어,영상 생성,스마트 편집 및 워크플로우 자동화,Pictory,블로그 글만 넣으면 관련 영상을 찾아 완성본으로 조립,2026년 최고의 AI 에디터로 선정.,,이메일,14일 무료 체험,20+ 언어 지원 (한국어 포함),CSV
비주얼 & 멀티미디어,영상 생성,쇼츠 및 소셜 미디어 특화,Pika 2.0,기발한 특수 효과(SFX) 애니메이션,사물을 녹이거나 터뜨리는 등 특수 효과에 특화.,,구글/이메일,일일 250 크레딧,한국어 지원,CSV
비주얼 & 멀티미디어,영상 생성,쇼츠 및 소셜 미디어 특화,Reap,대량 쇼츠 생산,긴 영상을 여러 개의 쇼츠로 대량 생산하는 데 최적화. 2026년 떠오르는 툴.,,이메일 / Google,무료 티어 제공,다국어 지원,CSV
비주얼 & 멀티미디어,영상 생성,하이엔드 시네마틱,Runway Gen-4.5,모션 브러시와 정교한 카메라 컨트롤,감독급 연출 가능.,무료 체험 가능 표준 플랜 $15/월,구글/이메일,가입 시 125 크레딧,영어 권장,CSV
비주얼 & 멀티미디어,영상 생성,하이엔드 시네마틱,Sora 2 (OpenAI),서사 중심의 정교한 영상,챗GPT 플러스 사용자에게 기본 제공되기 시작함.,월 $20 (Plus) 워터마크 제거 Pro는 $200,ChatGPT Plus 필요,Plus 구독자 월 50회,한국어 프롬프트 지원,CSV
비주얼 & 멀티미디어,영상 생성,쇼츠 및 소셜 미디어 특화,Submagic,릴스 전용 자동 자막과 화려한 줌 효과,탭 한 번으로 구현.,,이메일 가입,무료 플랜 (워터마크),한국어 자막 지원,CSV
비주얼 & 멀티미디어,영상 생성,비즈니스 및 교육용 아바타,Synthesia,120개 이상 언어 지원,기업 교육용 영상의 표준으로 자리 잡은 툴.,,이메일 가입,무료 체험 제한적,한국어 AI 아바타,CSV
비주얼 & 멀티미디어,영상 생성,스마트 편집 및 워크플로우 자동화,Vizard,유튜브 링크만 넣으면 하이라이트 추출,자막까지 달아주는 워크플로우 특화 툴.,,이메일 / Google,무료 플랜 제공,다국어 자막 지원,CSV
비주얼 & 멀티미디어,영상 생성,비즈니스 및 교육용 아바타,Vyond,애니메이션 스타일 캐릭터 영상,가장 정교한 커스터마이징 제공.,,이메일,14일 무료 체험,다국어 지원,CSV
비주얼 & 멀티미디어,영상 생성,하이엔드 시네마틱,Wan 2.2 / 2.5,생성 속도가 타 모델 대비 30% 이상 빠름,알리바바의 최신 모델.,오픈소스 기반 일부 플랫폼에서 무료 이용 가능,이메일 가입,무료 티어 제공,한국어 프롬프트 지원,CSV
비주얼 & 멀티미디어,오디오 및 AI 아바타,음성 및 대화,ElevenLabs,Text-to-Dialogue & Expressive v3,대화문 입력 시 다수의 화자가 서로 상호작용하며 말함. [whisper] [laughs] 등 감정 태그 완벽 지원.,,구글/이메일,"월 10,000자",한국어 음성 완벽 지원,CSV
비주얼 & 멀티미디어,오디오 및 AI 아바타,음악 생성,MusicFX,DJ-style Beats (Lyria 모델),구글 딥마인드 기술 기반. 루프 음악 생성 및 실시간 비트 조절로 실험적인 배경음악 제작에 최적.,,Google 계정,무료 제공 (Google),프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,오디오 및 AI 아바타,음악 생성,Suno,Add Vocals & V5 Fidelity,내가 만든 연주곡 위에 AI가 보컬만 입혀주는 기능. 48kHz 스테레오 음질로 CD 수준의 곡 생성.,,이메일 가입,일 50 크레딧,한국어 가사 지원,CSV
비주얼 & 멀티미디어,오디오 및 AI 아바타,음악 생성,Udio,Audio Inpainting & Stem Separation,곡의 특정 부분만 수정(Inpainting)하거나 보컬/드럼 등 개별 악기를 분리해 DAW로 내보냄.,,구글/이메일,"월 1,200 크레딧",한국어 가사 지원,CSV
비주얼 & 멀티미디어,이미지 생성 및 편집,상업용 및 브랜드 안전,Adobe Firefly 4,생성형 채우기로 배경을 늘리거나 개체를 바꿈,어도비가 학습시킨 깨끗한 데이터만 사용하여 상업적 이용에 가장 안전함. 포토샵 내에서 작동.,,Adobe 계정,25 크레딧 무료,프롬프트 입력 지원,CSV
비주얼 & 멀티미디어,이미지 생성 및 편집,올인원 편집 & 오픈소스,Automatic1111,파워 유저용 오픈소스,내 컴퓨터에 직접 설치해서 쓰는 파워 유저용. 세상의 모든 커스텀 모델(Stable Diffusion 등)을 무료로 돌릴 수 있음.,무료,가입 불필요 (로컬),완전 무료,UI 한국어,CSV
