대분류,카테고리,서브카테고리,툴 이름,킬러 기능,특징,비용,가입 방식,무료 한도,한국어 지원,URL
디자인 & UI/UX,지능형 웹 & 앱 빌더,,10Web AI,URL 입력만으로 WordPress 사이트 자동 복제 및 호스팅,기존 사이트 URL만 넣으면 워드프레스용으로 구조와 디자인 복제. 구글 클라우드 호스팅 포함. SEO/성능 자동 최적화.,,구글/이메일,무료 체험,기본 지원,https://10web.io
디자인 & UI/UX,지능형 웹 & 앱 빌더,,Banani,아이디어를 가장 빠르게 시각적 화면으로 전환하는 초고속 UI 생성기,아이디어를 시각적 화면으로 전환하는 속도가 가장 빠름. 2026년 신흥 강자.,,이메일 / Google,무료 티어 제공,프롬프트 입력 지원,https://banani.co
디자인 & UI/UX,지능형 웹 & 앱 빌더,,Bolt.new,브라우저에서 프롬프트만으로 풀스택 웹앱을 즉시 빌드·배포,코딩 친화적 워크플로우. 프롬프트만으로 대시보드 및 복잡한 웹 앱 빌드 가능.,,StackBlitz 계정,무료 티어 제공,한국어 프롬프트 지원,https://bolt.new
디자인 & UI/UX,하이엔드 UI/UX 설계 및 시스템,,Creatie AI,수천 개 빌트인 템플릿과 아이콘을 AI가 프로젝트에 맞춰 자동 추천,프로젝트 성격에 맞춰 수천 개의 빌트인 템플릿과 아이콘 라이브러리를 AI가 추천.,,이메일 / Google,무료 플랜 제공,프롬프트 입력 지원,https://creatie.ai
디자인 & UI/UX,인터랙티브 & 공간 경험,,Dora AI,텍스트 명령으로 3D 오브젝트를 생성·배치하는 노코드 3D 웹 빌더,텍스트로 3D 오브젝트를 생성하고 배치하여 인터랙티브한 3D 경험 제공.,,이메일 가입,무료 플랜,한국어 지원,https://www.dora.run
디자인 & UI/UX,하이엔드 UI/UX 설계 및 시스템,,Figma AI (Figma Make),피그마 내에서 텍스트/이미지로 오토 레이아웃 프레임을 즉시 생성,피그마 내부에서 직접 작동.,2026년 3월부터 AI 크레딧 정책 강화,구글/이메일,"월 1,000 operations",UI 영어,https://www.figma.com
디자인 & UI/UX,하이엔드 UI/UX 설계 및 시스템,,Figr.design,기존 컴포넌트를 AI가 학습해 브랜드 가이드에 맞는 화면을 무한 생성,기존 컴포넌트를 AI가 학습하여 브랜드 가이드에 맞는 새 화면 무한 생성.,,이메일 / Google,무료 크레딧 제공,프롬프트 입력 지원,https://figr.design
디자인 & UI/UX,지능형 웹 & 앱 빌더,,Framer AI,마우스·스크롤 반응 인터랙션을 코드 없이 생성하는 프로 디자이너 필수 툴,마우스 휠이나 클릭에 반응하는 정교한 인터랙션을 디자인 없이 생성. 프로 디자이너 선호. CMS 및 반응형 레이아웃 강점.,,구글/이메일,무료 플랜,한국어 프롬프트,https://www.framer.com
디자인 & UI/UX,하이엔드 UI/UX 설계 및 시스템,,Google Stitch (Gemini 3 기반),"구글 Gemini 기반, 자연어로 UI 생성 후 Figma 내보내기까지 원스톱",구글 랩스의 최신 툴. 화면을 연결해 즉시 워킹 프로토타입 생성 및 Figma 내보내기 가능.,월 350회 무료,구글 계정 자동 연동,Gemini 2.5 Pro 하루 5회,완벽 지원,https://stitch.withgoogle.com
디자인 & UI/UX,특수 스캐닝 및 전환 유틸리티,,Khroma,사용자의 취향을 학습해 브랜드에 맞는 컬러 조합을 무한 제안,사용자의 취향을 학습한 AI가 브랜드에 맞는 컬러 팔레트 제안.,,이메일 (브라우저 저장),완전 무료,언어 무관 (색상 툴),https://www.khroma.co
디자인 & UI/UX,지능형 웹 & 앱 빌더,,Lovable,"Supabase 연동 풀스택 앱까지 빌드, 실제 서비스 운영 가능 수준의 코드",단순 웹사이트를 넘어 Supabase 등 백엔드 연동이 담긴 풀스택 앱 구축. 실제 서비스 운영 가능 수준의 코드 퀄리티.,,구글/이메일,무료 플랜,한국어 지원,https://lovable.dev
디자인 & UI/UX,특수 스캐닝 및 전환 유틸리티,,Lovart,"PDF 브리프를 읽고 즉시 디자인으로 변환, 이미지 내 텍스트도 레이아웃 유지",이미지 내 텍스트를 레이아웃 손상 없이 수정.,,이메일 / Google,무료 크레딧 제공,프롬프트 입력 지원,https://www.lovart.ai
디자인 & UI/UX,하이엔드 UI/UX 설계 및 시스템,,Moonchild AI,기획서(PDF) 기반 와이어프레임 생성 및 글래스모피즘 등 극강 비주얼 구현,제품 기획서(PDF) 기반 와이어프레임 생성 및 Gold Dot 모드로 유리 질감(Glassmorphism) 등 극강의 비주얼 구현.,$10.20/월,이메일 / Google,무료 플랜 제공,프롬프트 입력 지원,https://moonchild.ai
디자인 & UI/UX,특수 스캐닝 및 전환 유틸리티,,Musho AI,피그마 플러그인으로 대화 몇 마디만에 디자인 시스템 기반 웹 섹션 생성,대화 몇 마디로 내 디자인 시스템을 활용해 웹 섹션이나 소셜 미디어 포스트 디자인 생성.,,이메일 / Google,무료 티어 제공,프롬프트 입력 지원,https://musho.ai
디자인 & UI/UX,인터랙티브 & 공간 경험,,Relume AI,사이트맵·와이어프레임을 AI로 설계 후 Webflow로 바로 연동하는 구조 설계 최강자,Webflow로 바로 넘겨주는 구조적 설계의 최강자.,,이메일 / Google,무료 플랜 제공 (Forever Free),프롬프트 입력 지원,https://www.relume.io
디자인 & UI/UX,인터랙티브 & 공간 경험,,Spline AI,자연어로 3D 모델링·조명·인터랙션을 설계하는 '3D계의 피그마',3D 디자인계의 피그마. 자연어 명령으로 모델링 질감 조명 생성. 여러 명이 동시 접속해 3D 장면 수정 가능.,,구글/이메일,무료 플랜,영어 권장,https://spline.design
디자인 & UI/UX,인터랙티브 & 공간 경험,,Tempo.new,디자인의 논리적 구조를 React 코드로 완벽히 이식하는 UX 엔지니어 전용 툴,디자인의 논리적 구조를 코드로 완벽하게 이식.,,이메일 / Google / GitHub,무료 티어 제공,프롬프트 입력 지원,https://tempo.new
디자인 & UI/UX,인터랙티브 & 공간 경험,,UX Pilot,디자인 시스템 업로드 시 사용자 시선 흐름을 AI가 미리 시뮬레이션,디자인 시스템 업로드 시 AI가 사용자가 어디를 볼지 미리 시뮬레이션.,,이메일 / Google,90 크레딧 무료 제공,프롬프트 입력 지원,https://uxpilot.ai
디자인 & UI/UX,특수 스캐닝 및 전환 유틸리티,,Uizard,손 스케치나 스크린샷을 피그마 수준의 편집 가능한 디자인으로 즉시 변환,,,구글/이메일,무료 플랜 (2 프로젝트),기본 지원,https://uizard.io
디자인 & UI/UX,지능형 웹 & 앱 빌더,,Wegic,채팅으로 실시간 수정·배포까지 완료되는 대화형 웹사이트 빌더,채팅창에 이벤트 배너 추가해 줘라고 치면 실시간 배포 완료. 입문자 전용. SEO 및 비즈니스 툴 연동이 빠름.,,구글/이메일,무료 플랜,한국어 대화 지원,https://wegic.ai
디자인 & UI/UX,인터랙티브 & 공간 경험,,v0 by Vercel,React+Tailwind 기반 프로덕션 수준의 프론트엔드 코드를 즉시 생성·배포,실제 개발자가 쓰는 수준의 깨끗한 프론트엔드 코드를 즉시 생성 및 배포. 데이터 분석 대시보드 강력 추천.,,Vercel 계정,월 200 크레딧,한국어 프롬프트 가능,https://v0.dev
오디오 & 콘텐츠,웹툰 셀프 퍼블리싱,,Anifusion,"웹툰·망가 셀프 퍼블리싱 특화, KDP 최적화 포맷으로 글로벌 출판 연동",웹툰 및 망가 셀프 퍼블리싱 특화. 장면 간 연결성 뛰어남. KDP(아마존 출판) 최적화 포맷 지원으로 글로벌 진출 용이. 다양한 멀티 플랫폼(Webtoon Tapas 등)에 맞는 해상도로 자동 변환.,,이메일 가입,크레딧 제공,한국어 지원,https://anifusion.ai
오디오 & 콘텐츠,웹툰 제작,,Dashtoon,캐릭터 표정·눈썹·입 모양을 슬라이더로 미세 조절하는 웹툰 작가 올인원,웹툰 작가를 위한 올인원 플랫폼. AI 캐릭터 에셋을 라이브러리화하여 여러 화에 걸쳐 일관된 작화 유지. 2026년 킬러 기능 Character Turbo와 Expression Editor(표정 편집기)로 캐릭터 고유 정체성 유지하며 눈썹 위치 입 모양 등 미세한 표정 변화를 슬라이더로 조절.,,이메일 / Google,무료 플랜 (100 이미지/일),한국어 포함 다국어 지원,https://dashtoon.com
오디오 & 콘텐츠,스토리보드,,Drawstory,대본 업로드만으로 카메라 앵글·조명 고려한 전문 스토리보드 자동 생성,대본만 업로드하면 카메라 앵글 조명 구도를 고려한 전문 스토리보드와 프리비즈 영상까지 자동 생성. 프롬프트 없는 생성 지향. 시나리오 문맥을 이해하고 전문 영화 문법(Shot type)을 적용한 컷 생성.,,이메일 / Google,무료 티어 제공,한국어 포함 다국어 지원,https://drawstory.ai
오디오 & 콘텐츠,웹툰 및 애니메이션,,Novel AI,캐릭터 외형+화풍까지 완벽 고정하는 Precise Reference로 일관된 작화 구현,웹툰 및 애니메이션 스타일 구현과 캐릭터 시트 생성. 2026년 2월 출시 Precise Reference 기능으로 캐릭터의 외형뿐만 아니라 화풍(Style)까지 완벽하게 고정. Strength와 Fidelity 슬라이더로 AI 개입 정도 미세 조정. 레퍼런스 인페인팅으로 특정 부분만 일관성 있게 수정.,,이메일 가입,무료 없음,한국어 프롬프트,https://novelai.net
오디오 & 콘텐츠,스토리보드,,Story Tribe,"드래그&드롭으로 스토리보드 제작, 팀 실시간 피드백 가능한 비전공자 맞춤형",기획자나 마케팅 담당자가 빠르게 스토리보드 제작. 드래그 앤 드롭 방식과 스케치-투-이미지 기능. 2026년 버전은 협업 기능 강화로 팀원들이 실시간으로 컷별 피드백 가능.,,이메일 / Google,무료 플랜 제공,기본 지원,https://storytribe.io
영상 제작,비즈니스 및 교육용 아바타,,D-ID,인물 사진 한 장으로 입 모양까지 싱크되는 말하는 아바타 영상 생성,가성비 최고.,,구글/이메일,월 20 크레딧,한국어 음성 지원,https://www.d-id.com
영상 제작,스마트 편집 및 워크플로우 자동화,,Descript,"영상을 텍스트처럼 편집, '음/어' 같은 말실수를 한 번에 자동 삭제",말실수(음 어)를 한 번에 지워주는 기능이 압권.,,구글/이메일,무료 플랜 제공,한국어 전사 지원,https://www.descript.com
영상 제작,비즈니스 및 교육용 아바타,,Elai.io,"사진 한 장으로 다국어 아바타 영상 대량 생산, 기업 교육·마케팅 최적화",가성비 최고.,,이메일 / Google,무료 플랜 제공,29개 언어 지원 (한국어 포함),https://elai.io
영상 제작,하이엔드 시네마틱,,Google Veo 3.1,"구글 최신 모델, 일관성 있는 긴 호흡의 시네마틱 영상 생성에 최적화",구글의 최신 모델.,매월 무료 크레딧 제공 Pro 버전 $19.99/월,구글 계정,제한적 무료,한국어 프롬프트 지원,https://deepmind.google/technologies/veo/
영상 제작,쇼츠 및 소셜 미디어 특화,,Grok Imagine (X),"X 플랫폼 연동, 6초 이내 영상을 가장 빠르게 생성·공유",X(구 트위터) 유료 사용자 전용. 공유 가능.,,X(트위터) 계정,X 플랫폼 무료 제공,프롬프트 입력 지원,https://x.com/i/grok
영상 제작,비즈니스 및 교육용 아바타,,HeyGen,사진 한 장으로 입 모양·감정까지 복제하는 실시간 대화형 AI 아바타,실시간 대화형 아바타 생성.,,이메일 가입,월 1분 크레딧,한국어 음성 지원,https://www.heygen.com
영상 제작,오픈소스 및 전문가용 툴,,Hunyuan Video,"텐센트 130억 파라미터 오픈소스, 2K 고화질 영상을 무료로 생성",텐센트. 2K 고화질 영상을 오픈소스로 배포.,오픈소스,오픈소스 (가입 불필요),오픈소스 무료,프롬프트 입력 지원,https://github.com/Tencent/HunyuanVideo
영상 제작,스마트 편집 및 워크플로우 자동화,,Invideo AI,유튜브 링크만으로 하이라이트 추출·자막·편집까지 자동화하는 영상 워크플로우,자막까지 달아주는 워크플로우 특화 툴.,,구글/이메일,주 10분 영상,한국어 지원,https://invideo.io
영상 제작,하이엔드 시네마틱,,Kling 2.6 Pro,"현존 최고 수준의 인물 묘사·물리 엔진, 10분 이상 장편 영상 생성 지원",10분 이상의 장편 생성 지원.,매일 무료 크레딧 지급 비용 효율이 매우 높음,이메일/구글 가입,매일 66 크레딧 (약 6개 영상),"영어 프롬프트 권장, 한국어 제한적",https://klingai.com
영상 제작,오픈소스 및 전문가용 툴,,LTX Studio,스토리보드 단계부터 샷별로 세밀하게 AI 영상을 연출하는 전문가용 툴,전문가용 툴.,,구글/이메일,"월 1,200 크레딧",한국어 가사 지원,https://ltx.studio
영상 제작,오픈소스 및 전문가용 툴,,LTX Video (LTX-2),4K 50fps 영상과 오디오를 동시 생성하는 오픈소스 하이엔드 모델,하이테크 오픈 모델.,오픈소스,오픈소스 (가입 불필요),오픈소스 무료,프롬프트 입력 지원,https://ltx.studio
영상 제작,하이엔드 시네마틱,,Luma Ray 3,아이디어를 즉시 시네마틱 영상으로 변환하는 Dream Machine 진화형,아이디어를 즉시 시네마틱한 결과로 도출.,매일 무료 생성권 제공 Lite 플랜 $9.99/월,구글/이메일,월 30회 무료,한국어 프롬프트 지원,https://lumalabs.ai
영상 제작,스마트 편집 및 워크플로우 자동화,,Manus,기획→대본→영상 제작→배포까지 전 과정을 자동화하는 AI 에이전트,AI 에이전트.,,이메일 / Google,무료 티어 제공,프롬프트 입력 지원,https://manus.im
영상 제작,오픈소스 및 전문가용 툴,,Mochi 1,"프롬프트 이해도 최상위, 자연스러운 동작 표현에 집중한 오픈소스 모델",시각적 퀄리티보다 움직임 중심.,오픈소스,오픈소스 (가입 불필요),오픈소스 무료,프롬프트 입력 지원,https://www.genmo.ai
영상 제작,쇼츠 및 소셜 미디어 특화,,OpusClip,긴 영상에서 바이럴 점수 높은 구간만 자동으로 잘라 쇼츠로 만들어주는 편집기,긴 영상을 분석해 바이럴 점수가 높은 쇼츠 구간만 알아서 잘라줌.,,구글/이메일,월 60분 무료,한국어 지원,https://www.opus.pro
영상 제작,스마트 편집 및 워크플로우 자동화,,Pictory,블로그 글을 넣으면 관련 영상을 찾아 완성본으로 자동 조립해주는 AI 에디터,2026년 최고의 AI 에디터로 선정.,,이메일,14일 무료 체험,20+ 언어 지원 (한국어 포함),https://pictory.ai
영상 제작,쇼츠 및 소셜 미디어 특화,,Pika 2.0,사물을 녹이거나 터뜨리는 등 기발한 특수 효과(SFX) 애니메이션 특화,사물을 녹이거나 터뜨리는 등 특수 효과에 특화.,,구글/이메일,일일 250 크레딧,한국어 지원,https://pika.art
영상 제작,쇼츠 및 소셜 미디어 특화,,Reap,긴 영상을 여러 개의 쇼츠로 대량 생산하는 데 최적화된 2026년 신흥 강자,긴 영상을 여러 개의 쇼츠로 대량 생산하는 데 최적화. 2026년 떠오르는 툴.,,이메일 / Google,무료 티어 제공,다국어 지원,https://reap.ml
영상 제작,하이엔드 시네마틱,,Runway Gen-4.5,모션 브러시·카메라 컨트롤로 감독급 연출이 가능한 최고급 영상 생성 툴,감독급 연출 가능.,무료 체험 가능 표준 플랜 $15/월,구글/이메일,가입 시 125 크레딧,영어 권장,https://runwayml.com
영상 제작,하이엔드 시네마틱,,Sora 2 (OpenAI),"OpenAI의 서사 중심 영상 생성 모델, ChatGPT Plus에서 바로 사용 가능",챗GPT 플러스 사용자에게 기본 제공되기 시작함.,월 $20 (Plus) 워터마크 제거 Pro는 $200,ChatGPT Plus 필요,Plus 구독자 월 50회,한국어 프롬프트 지원,https://sora.com
영상 제작,쇼츠 및 소셜 미디어 특화,,Submagic,"릴스 전용, 탭 한 번으로 화려한 자동 자막과 줌 효과를 즉시 적용",탭 한 번으로 구현.,,이메일 가입,무료 플랜 (워터마크),한국어 자막 지원,https://www.submagic.co
영상 제작,비즈니스 및 교육용 아바타,,Synthesia,"120개+ 언어 지원, 기업 교육용 AI 아바타 영상의 글로벌 표준",기업 교육용 영상의 표준으로 자리 잡은 툴.,,이메일 가입,무료 체험 제한적,한국어 AI 아바타,https://www.synthesia.io
영상 제작,스마트 편집 및 워크플로우 자동화,,Vizard,유튜브 링크로 하이라이트 추출·자막 생성·멀티 플랫폼 리사이징까지 자동화,자막까지 달아주는 워크플로우 특화 툴.,,이메일 / Google,무료 플랜 제공,다국어 자막 지원,https://vizard.ai
영상 제작,비즈니스 및 교육용 아바타,,Vyond,가장 정교한 커스터마이징을 제공하는 애니메이션 스타일 캐릭터 영상 제작 툴,가장 정교한 커스터마이징 제공.,,이메일,14일 무료 체험,다국어 지원,https://www.vyond.com
영상 제작,하이엔드 시네마틱,,Wan 2.2 / 2.5,"알리바바 최신 모델, 타 모델 대비 30% 이상 빠른 영상 생성 속도",알리바바의 최신 모델.,오픈소스 기반 일부 플랫폼에서 무료 이용 가능,이메일 가입,무료 티어 제공,한국어 프롬프트 지원,https://wan.video
오디오 & 콘텐츠,음성 및 대화,,ElevenLabs,대화문 입력 시 다수 화자가 상호작용하며 감정 태그까지 반영하는 음성 합성,대화문 입력 시 다수의 화자가 서로 상호작용하며 말함. [whisper] [laughs] 등 감정 태그 완벽 지원.,,구글/이메일,"월 10,000자",한국어 음성 완벽 지원,https://elevenlabs.io
오디오 & 콘텐츠,음악 생성,,MusicFX,"구글 딥마인드 기술 기반, 실시간 비트 조절로 DJ 스타일 배경음악 생성",구글 딥마인드 기술 기반. 루프 음악 생성 및 실시간 비트 조절로 실험적인 배경음악 제작에 최적.,,Google 계정,무료 제공 (Google),프롬프트 입력 지원,https://aitestkitchen.withgoogle.com/tools/music-fx
오디오 & 콘텐츠,음악 생성,,Suno,"내 연주곡 위에 AI 보컬을 입히고, 48kHz CD 수준 음질의 곡 생성",내가 만든 연주곡 위에 AI가 보컬만 입혀주는 기능. 48kHz 스테레오 음질로 CD 수준의 곡 생성.,,이메일 가입,일 50 크레딧,한국어 가사 지원,https://suno.com
오디오 & 콘텐츠,음악 생성,,Udio,곡의 특정 부분만 수정하거나 보컬/악기를 개별 분리해 DAW로 내보내기,곡의 특정 부분만 수정(Inpainting)하거나 보컬/드럼 등 개별 악기를 분리해 DAW로 내보냄.,,구글/이메일,"월 1,200 크레딧",한국어 가사 지원,https://www.udio.com
이미지 & 그래픽,상업용 및 브랜드 안전,,Adobe Firefly 4,"상업적으로 가장 안전한 AI 이미지 생성, 포토샵 내 생성형 채우기/확장 지원",어도비가 학습시킨 깨끗한 데이터만 사용하여 상업적 이용에 가장 안전함. 포토샵 내에서 작동.,,Adobe 계정,25 크레딧 무료,프롬프트 입력 지원,https://www.adobe.com/products/firefly.html
이미지 & 그래픽,올인원 편집 & 오픈소스,,Automatic1111,로컬에서 Stable Diffusion 등 모든 커스텀 모델을 무료로 돌리는 오픈소스 UI,내 컴퓨터에 직접 설치해서 쓰는 파워 유저용. 세상의 모든 커스텀 모델(Stable Diffusion 등)을 무료로 돌릴 수 있음.,무료,가입 불필요 (로컬),완전 무료,UI 한국어,https://github.com/AUTOMATIC1111/stable-diffusion-webui
이미지 & 그래픽,상업용 및 브랜드 안전,,Canva Magic Studio,디자인 초보도 템플릿 안에서 AI 이미지 생성·편집·배포까지 올인원 환경,디자인 초보자도 템플릿 안에서 AI 이미지를 생성하고 즉시 편집할 수 있는 올인원 환경.,,구글/이메일,무료 플랜 제공,완벽 한국어 UI,https://www.canva.com
이미지 & 그래픽,올인원 편집 & 오픈소스,,ComfyUI,노드 기반 워크플로우로 AI 이미지 파이프라인을 자유롭게 설계하는 파워유저 툴,내 컴퓨터에 직접 설치해서 쓰는 파워 유저용. 세상의 모든 커스텀 모델(Stable Diffusion 등)을 무료로 돌릴 수 있음.,무료,가입 불필요 (로컬 설치),완전 무료 (오픈소스),UI 한국어 지원,https://github.com/comfyanonymous/ComfyUI
이미지 & 그래픽,하이엔드 예술 & 실사,,DALL-E 4,매우 길고 복잡한 프롬프트도 하나도 놓치지 않는 ChatGPT 내장 이미지 생성,챗GPT 내장. 사용이 가장 쉽고 직관적임.,월 구독형,ChatGPT 계정 (구글/이메일),"ChatGPT 무료 사용자는 제한적, Plus는 3시간당 80개",한국어 프롬프트 완벽 지원,https://openai.com/dall-e
이미지 & 그래픽,고화질 업스케일링 & 후보정,,Evoto AI,잡티 제거·디지털 메이크업·체형 보정을 AI가 몇 초 만에 처리하는 인물 전용,잡티 제거 디지털 메이크업 체형 보정 등을 AI가 단 몇 초 만에 처리.,,이메일 / Google,무료 티어 제공,기본 지원,https://www.evoto.ai
